1888,-21.0932024925
1889,-21.1195917984
1890,-21.1458527173
1891,-21.1719841746
1892,-21.1979851883
1893,-21.2238548726
1894,-21.2495924452
1895,-21.2751972335
1896,-21.3006686751
1897,-21.3260063201
1898,-21.3512098322
1899,-21.3762789877
1900,-21.4012136748
1901,-21.4260138919
1902,-21.4506797456
1903,-21.4752114482
1904,-21.4996093145
1905,-21.5238737581
1906,-21.5480052859
1907,-21.5720045
1908,-21.5958720942
1909,-21.6196088492
1910,-21.643215628
1911,-21.6666933704
1912,-21.6666933704
1913,-21.67254276
1914,-21.6783841568
1915,-21.6900430031
1916,-21.713265051
1917,-21.7363596412
1918,-21.7593265327
1919,-21.7821651437
1920,-21.804874593
1921,-21.8274537407
1922,-21.8499012437
1923,-21.8722156042
1924,-21.8943952001
1925,-21.9164383113
1926,-21.9383431426
1927,-21.960107845
1928,-21.9817305339
1929,-22.0032093058
1930,-22.0245422537
1931,-22.0457274805
1932,-22.0667631115
1933,-22.0876473062
1934,-22.1083782684
1935,-22.1289542561
1936,-22.1493735901
1937,-22.1696346624
1938,-22.1897359439
1939,-22.2096759914
1940,-22.2294534543
1941,-22.2490670802
1942,-22.2685157208
1943,-22.2877983369
1944,-22.3069140004
1945,-22.3258618977
1946,-22.3446413296
1947,-22.3632517076
1948,-22.381692558
1949,-22.3999635242
1950,-22.4180643696
1951,-22.4359949797
1952,-22.453755364
1953,-22.4713456572
1954,-22.4887661205
1955,-22.4887661205
1956,-22.4930947429
1957,-22.49741278
1958,-22.5060171222
1959,-22.523099044
1960,-22.5400122675
1961,-22.5567571739
1962,-22.5733341419
1963,-22.5897435487
1964,-22.6059857755
1965,-22.6220612128
1966,-22.6379702465
1967,-22.6537133028
1968,-22.6692908434
1969,-22.6847033641
1970,-22.6999513998
1971,-22.7150355288
1972,-22.7299563744
1973,-22.7447146075
1974,-22.7593109483
1975,-22.7737461679
1976,-22.78802109
1977,-22.8021365915
1978,-22.8160936043
1979,-22.8298931154
1980,-22.843536168
1981,-22.8570238625
1982,-22.8703573577
1983,-22.8835378714
1984,-22.8965666803
